ID,Created,Name,Description,Playlist URL
b41f49785f054bcda491fe37e4d3479f,2025-05-11T21:33:45Z,Sports Anthem," A song that best represents a sports team you root for - explain why",https://open.spotify.com/playlist/0Jc9fMp6X7V2JUAO1saS6K
40970b2ee43f4573930cb2e5eada5ed6,2025-05-11T21:35:21Z,What are we doing?,Songs that make you ask - “Why does this song exist??”,https://open.spotify.com/playlist/3kdCl0XkQO8QzNKeg5HWs7
13ff18664d1543038d2faf8df4caa694,2025-05-11T21:37:34Z,90s Throwback,"What’s the best song of the 90s, however you define that decade - OTHER than Smells Like Teen Spirit",https://open.spotify.com/playlist/0q0CXekS5lKumeclV79wme
8e23f89d5aaf469ba08bcdc9f4489079,2025-05-11T21:44:09Z,Personal Favorite,Lesser known songs you love and want everyone to know about!,https://open.spotify.com/playlist/70zkbpFsNUWt3vU1ByO6gO
ea50b6c5e8014349ac43a9b231506934,2025-05-16T18:55:16Z,Small Screen Songs,"A song that reminds you of a specific TV Show or TV Moment, but NOT a shows theme song ",https://open.spotify.com/playlist/3cC2rqcdRjMWAVPwb4Or4U
