ID,Created,Name,Description,Playlist URL
d89f234e5de04c8f992258aa0771d78a,2025-06-08T19:13:12Z,"Oh Mickey, You’re So Fine",Pick a great song from an animated Disney Movie.,https://open.spotify.com/playlist/6zMXqU19g9poyfN5y6xbbA
e5d58fa550d84563907d2110089888de,2025-06-08T19:14:02Z,Under Cover,Pick a cover song thats not as well known as the original song,https://open.spotify.com/playlist/1P1oujCu7xlooWCNSp8QJS
a59d93ec0ec248a2ad4b411eaa936f64,2025-06-08T19:16:27Z,Personal Favorite 3,Akiva’s rule - Must be under 5 Million plays on Spotify (full disclosure: he wanted 1 million),https://open.spotify.com/playlist/0jCc0Ut5J98OMgmNmeQyYe
