ID,Created,Name,Description,Playlist URL
efc5be598626406f900b10e45a91b434,2025-06-29T17:31:53Z,"Hit the Road, Jack",Best songs for a road trip or long drive. Happy Canada Day everyone,https://open.spotify.com/playlist/17b6Y2iVZhkj6xmdiedvnf
731712f8f0d446ab8a0f1f5bac881002,2025-06-29T17:34:58Z,Who’s that girl?,Songs with a woman’s name in the title ,https://open.spotify.com/playlist/0GaaCiAzdGBdYLCSbbkHQG
9595d71f10304c9f84607e2338c95d28,2025-06-29T17:37:06Z,‘Murica,"Celebrate the greatest country on earth - the US of A. Fuck yeah! Songs about America, any place in the US, independence or July 4th. It’s a free country go nuts!",https://open.spotify.com/playlist/5lY8e2q8k69sAZP5rILjVX
693d83ed084149d7bf3c3e02f90c4c3d,2025-06-29T17:39:35Z,Uncle Keevy Special,Winners pick - songs with under 2 Million plays on Spotify,https://open.spotify.com/playlist/1mxtUJC8sgzjcO9NzajD7h
8ac4dade9e304990a82120305669602f,2025-06-29T17:42:04Z,Video Killed The Radio Star,Pick a song you like the music video for - can’t hurt to drop a YouTube link - a YouTube video list will be shared!,https://open.spotify.com/playlist/5ihNa1szMu5Uvx5kinNG4x
704058486d1947fcac803340ff0f7554,2025-06-29T17:45:14Z,Twice is Nice,Song Name or Band Name has a word repeated in the Title - does not have to be consecutive (ex: He Said She Said),https://open.spotify.com/playlist/6nthDyVAvLbkJ4Q0T9gNuJ
