ID,Created,Name,Description,Playlist URL
09755b5345a947dabe1a8eec2fe6526a,2025-07-29T02:13:32Z,Pop Culture Crossover,"Amir’s Winner Category - Pick a song whose title includes the title of a movie, TV show, or book (but it cannot be the theme song or have any actual connection to that movie, TV show, or book)",https://open.spotify.com/playlist/57A2f4Q6qD7Z5O1gb79hRZ
4acfb4c6c5894083bd9136747982880d,2025-07-29T02:15:39Z,Personal Favorite Strikes Back,Pick a song with under 15 Million plays on Spotify,https://open.spotify.com/playlist/5QER51MQ9zvs4v90iUkfRN
73bd98e643bd4d4bab8beeecd7befc59,2025-07-29T02:16:53Z,We need a name! Give us a name!,"Pick a song by an Artist that shares a name with or contains the name of anyone in the Music League chat. Can be first name, last name or a nickname.",https://open.spotify.com/playlist/4LmRcPAPOu2C3no39Ph4uH
aa3345c76e54460e96f6d03659e9ecf3,2025-07-29T02:17:36Z,Preoccupied With 1985,Pick any song from the 1980s,https://open.spotify.com/playlist/0H6YdX0xkP9jVVCcJRBD4P
f87ff9829c164528b8ebbd112bd2492f,2025-07-29T02:25:23Z,You think I give a damn about a Grammy?,Pick a song that was Grammy nominated for either Song of the Year or Record of the Year,https://open.spotify.com/playlist/5zaBalE2JbAwwFk65a0pjy
c4845bad1750490ca2f6bafe9f3a5c2a,2025-07-29T02:33:29Z,Name Drop it like it’s Hot ,"Song mentions another musical artist in the lyrics (who is not involved in the making of the song). Nicknames  are fine (eg, “Pac).”",https://open.spotify.com/playlist/3jCXnPLxmQ2tMLvI2erG74
