Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0qmNhKL1zNSJcE19XXXT5q,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,Think this was the Alex pick… interesting choice,6eb27a58585444108600edb385dbef98
spotify:track:1bp2IO61zbQrbWNmKKxg3f,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,"Didn’t really have a reason for this, just seemed to fit ",6eb27a58585444108600edb385dbef98
spotify:track:0jxWlzadnSzb9f49f9jxfz,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,Lol ,6eb27a58585444108600edb385dbef98
spotify:track:205WULeR14jbgFYtqauqpE,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,1,Gotta be Av. Throwback,6eb27a58585444108600edb385dbef98
spotify:track:2IzUfd8Dv5wfvLoe8yfpNA,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,"No, that’s midtown.",6eb27a58585444108600edb385dbef98
spotify:track:39lSeqnyjZJejRuaREfyLL,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,1,Great song,6eb27a58585444108600edb385dbef98
spotify:track:3AhXZa8sUQht0UEdBJgpGc,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,Most obvious choice but will it get the votes? ,6eb27a58585444108600edb385dbef98
spotify:track:5reBlqlLyZ1YeTmjuiD24f,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,0,Haha. But no ,6eb27a58585444108600edb385dbef98
spotify:track:5SsR3wtCOafDmZgvIdRhSm,fa031db8c07243a78d25e8c8cfa3dbbf,2025-05-05T04:25:54Z,1,Wasn’t familiar but this is probably the best actual walk up song ,6eb27a58585444108600edb385dbef98
spotify:track:0jxWlzadnSzb9f49f9jxfz,af5d7b4be7764a2b9d27a92e4ad5170a,2025-05-05T04:34:34Z,1,Slaps ,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,af5d7b4be7764a2b9d27a92e4ad5170a,2025-05-05T04:34:34Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:6aqJhJqaFSo00H8kKd38RH,af5d7b4be7764a2b9d27a92e4ad5170a,2025-05-05T04:34:34Z,2,,6eb27a58585444108600edb385dbef98
spotify:track:205WULeR14jbgFYtqauqpE,1aca368150f64241afff5846d4e4fcf6,2025-05-05T04:47:29Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:6aqJhJqaFSo00H8kKd38RH,1aca368150f64241afff5846d4e4fcf6,2025-05-05T04:47:29Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,1aca368150f64241afff5846d4e4fcf6,2025-05-05T04:47:29Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,1aca368150f64241afff5846d4e4fcf6,2025-05-05T04:47:29Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,2f0d4f7a540d4d26aaf2376f776e8a3e,2025-05-05T11:05:11Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:2I66eI2j2ZfOe9q8TMLPbj,2f0d4f7a540d4d26aaf2376f776e8a3e,2025-05-05T11:05:11Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:39lSeqnyjZJejRuaREfyLL,2f0d4f7a540d4d26aaf2376f776e8a3e,2025-05-05T11:05:11Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:7C0rG4oWO7VeZcffyW1sK9,2f0d4f7a540d4d26aaf2376f776e8a3e,2025-05-05T11:05:11Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:1bp2IO61zbQrbWNmKKxg3f,2db500747c744b11b06f40bf6cc82baf,2025-05-05T11:15:04Z,0,"Timberwolves, not Nuggets!",6eb27a58585444108600edb385dbef98
spotify:track:2IzUfd8Dv5wfvLoe8yfpNA,2db500747c744b11b06f40bf6cc82baf,2025-05-05T11:15:04Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:39lSeqnyjZJejRuaREfyLL,2db500747c744b11b06f40bf6cc82baf,2025-05-05T11:15:04Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3DrzeqjTR3O9zCBdeSRoYu,2db500747c744b11b06f40bf6cc82baf,2025-05-05T11:15:04Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,2db500747c744b11b06f40bf6cc82baf,2025-05-05T11:15:04Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:1bp2IO61zbQrbWNmKKxg3f,06338fd346b14d07bf620ffc7c168c93,2025-05-05T11:17:01Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3DrzeqjTR3O9zCBdeSRoYu,06338fd346b14d07bf620ffc7c168c93,2025-05-05T11:17:01Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:6aqJhJqaFSo00H8kKd38RH,06338fd346b14d07bf620ffc7c168c93,2025-05-05T11:17:01Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:7C0rG4oWO7VeZcffyW1sK9,06338fd346b14d07bf620ffc7c168c93,2025-05-05T11:17:01Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,478b759189a14381b1f205759abdf016,2025-05-05T11:30:59Z,-1,Basic obvious choice.,6eb27a58585444108600edb385dbef98
spotify:track:4XkOcWt0C2JX1s2RXybosk,478b759189a14381b1f205759abdf016,2025-05-05T11:30:59Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,478b759189a14381b1f205759abdf016,2025-05-05T11:30:59Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5SsR3wtCOafDmZgvIdRhSm,478b759189a14381b1f205759abdf016,2025-05-05T11:30:59Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,1d5503c9d4744d8687a0afed33defb26,2025-05-05T12:17:39Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5reBlqlLyZ1YeTmjuiD24f,1d5503c9d4744d8687a0afed33defb26,2025-05-05T12:17:39Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:6aqJhJqaFSo00H8kKd38RH,1d5503c9d4744d8687a0afed33defb26,2025-05-05T12:17:39Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:6qZjm61s6u8Ead9sWxCDro,1d5503c9d4744d8687a0afed33defb26,2025-05-05T12:17:39Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:0jxWlzadnSzb9f49f9jxfz,a089f02ddbcc41fdb14a6a679f239770,2025-05-05T12:31:14Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:39lSeqnyjZJejRuaREfyLL,a089f02ddbcc41fdb14a6a679f239770,2025-05-05T12:31:14Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,a089f02ddbcc41fdb14a6a679f239770,2025-05-05T12:31:14Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:3DrzeqjTR3O9zCBdeSRoYu,a089f02ddbcc41fdb14a6a679f239770,2025-05-05T12:31:14Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:0jxWlzadnSzb9f49f9jxfz,439d54cc49ea48a39ebc93d907c63da4,2025-05-05T12:47:09Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:3DrzeqjTR3O9zCBdeSRoYu,439d54cc49ea48a39ebc93d907c63da4,2025-05-05T12:47:09Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,439d54cc49ea48a39ebc93d907c63da4,2025-05-05T12:47:09Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:6qZjm61s6u8Ead9sWxCDro,439d54cc49ea48a39ebc93d907c63da4,2025-05-05T12:47:09Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:39lSeqnyjZJejRuaREfyLL,939639eeb2374eb6b4d39e59af2c341b,2025-05-05T14:07:07Z,2,,6eb27a58585444108600edb385dbef98
spotify:track:3DrzeqjTR3O9zCBdeSRoYu,939639eeb2374eb6b4d39e59af2c341b,2025-05-05T14:07:07Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5reBlqlLyZ1YeTmjuiD24f,939639eeb2374eb6b4d39e59af2c341b,2025-05-05T14:07:07Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:0jxWlzadnSzb9f49f9jxfz,0995932416ce4af9b949fac7734be106,2025-05-05T14:44:22Z,-1,,6eb27a58585444108600edb385dbef98
spotify:track:3Dq2FHZ73hBUG815MoapQu,0995932416ce4af9b949fac7734be106,2025-05-05T14:44:22Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:4XkOcWt0C2JX1s2RXybosk,0995932416ce4af9b949fac7734be106,2025-05-05T14:44:22Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:5o4yGlG0PfeVUa6ClIyOxq,0995932416ce4af9b949fac7734be106,2025-05-05T14:44:22Z,1,,6eb27a58585444108600edb385dbef98
spotify:track:205WULeR14jbgFYtqauqpE,9c17f1f2e96c4157bb477349e34f8128,2025-05-05T14:44:55Z,-1,,6eb27a58585444108600edb385dbef98
