ID,Created,Name,Description,Playlist URL
33fd459ae0b249a68d77459cee2dd4b7,2025-06-19T01:44:53Z,First things first,A song from the first album you ever bought OR that was played in the first concert you ever attended,https://open.spotify.com/playlist/0PoAMK9QPxDLb0DwZPxQXF
0c0aaa92cf5f406cae8b8ec3e5dba338,2025-06-19T01:48:03Z,All My Favorite Colors,Pick a song with a color in the title,https://open.spotify.com/playlist/5xdf6dSW7h9YQGgqrkvbNV
0bda42d1de7d40d3b1dbe539736c6116,2025-06-19T01:51:07Z,Pride Month,Celebrate pride any way you’d like!,https://open.spotify.com/playlist/3tPjsb836lNIs71sfT1Ary
736a7d7ec61749358c86400c7fe9a38b,2025-06-19T01:53:04Z,That 70’s Song,Pick a song from the 70s (no Chester decades),https://open.spotify.com/playlist/1tnlCU16ujm8lNtd79cTzX
7082443f245a454aba223aabb76c2215,2025-06-19T01:53:33Z,Caught Red Handed,Pick a song that describes a crime being  committed somewhere in the lyrics,https://open.spotify.com/playlist/0WPRRbBK3yxS9gRwFolDwP
fffeb1f523d248bb91936b629e93f0a6,2025-06-19T01:57:05Z,"He said, She said",Songs that have both a man and a woman singing on them,https://open.spotify.com/playlist/3az3dW2JcCgZigtiXayOH6
