ID,Created,Name,Description,Playlist URL
930c0b8d8d274903992c6d4676c55499,2025-07-11T18:24:49Z,32 Teams,"Times 4 (kind of). Pick a song that has the name of a team from one of the 4 Major Sports in the Title (ex: Mets, Vikings, Spurs, or Wild). Can be plural or singular.",https://open.spotify.com/playlist/66m5cvPtdyVi0VQmZhOIWz
790fbad3530141ffbb227d9a5798a210,2025-07-11T18:33:24Z,We’re Doing It Live!,Pick a great live version of a song,https://open.spotify.com/playlist/522eV3cppMNeM5gtm1tlzT
7c3526295e074dfaa9ed04c583e7e273,2025-07-11T19:47:21Z,What Else Is On Television?,TV Round 2 - A song you love from a TV Series or a TV Moment (Not a TV Theme Song),https://open.spotify.com/playlist/6agbkwpwFhImYCCpQpfKX1
03238bf5ecfa4b2b8d3749d626dbc77d,2025-07-11T19:48:14Z,The Night We Met,A song about the beginning of a relationship ,https://open.spotify.com/playlist/6goAXQILllyRK4JuLzsZhJ
c2ac5b3393f643eab1816cacc408e274,2025-07-11T19:51:36Z,Lucky Number 7,Gilpy’s Winner Pick - In honor of the 7th game of this league: pick a track #7 off an album that was released in a year that ends in 7,https://open.spotify.com/playlist/0IC87xuaRd9mWEB0vX3Mti
8e3cb10443994f6ab6f7c065eda54683,2025-07-11T20:04:23Z,Across The Pond,Pick an artist from the British Isles,https://open.spotify.com/playlist/67S07dflNmYDY8HklqS9l8
