Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:5huLMzIzFEdVcvEzt2hfk1,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6TfBA04WJ3X1d1wXhaCFVT,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0oc7YoWV783fGr2GbdcIrz,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3AydAydLzyyZutA0375XIz,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:1BBKX7HKP2h49AmingCDQb,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,-1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:4VtSO2QcHikRASfuNi7JOM,88c13dc3117f444ea2fcc45cc5570f97,2025-08-22T01:14:01Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3aTtbSM7gX011qAtinh6nP,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,1,"I saw them play this a few weeks ago!

I was thinking about submitting another mt joy song, but happy I didn’t because this is so much better. Love this track more each time I hear it, quickly becoming one of my favs ",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3AydAydLzyyZutA0375XIz,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,0,"Meh, I like vampire weekend but this isn’t the one for me",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3M1wrmH2DCIR3syOfjPoxW,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,0,I like that 6’s to 9’s album but all his music since then has dissapointed a bit imo,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:4VtSO2QcHikRASfuNi7JOM,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,0,"You could have given me a million guesses and I would never have guessed this was sum 41. Didn’t know the backstory

It’s actually not bad???",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:66YywMJbAgzQrGkFKjnSsK,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,1,This feels like a song that could become annoying if it became popular and was always stuck in your head. Luckily this was my first time hearing it and I enjoyed it,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6Alp15t6urC4opjJiyOqZu,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,1,"I didn’t know there was old Sabrina? Idk why in my mind she just spawned out of the abyss in 2024

This was good, better than the cappuccino song (the only one I know by her).",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0MHXrqn909p0LRTPsNsGEi,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,-1,"If it’s a well known song AND I don’t like it, it’s most likely to get my downvote. Sorry",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:21Qsj3cMVCx2xF2EVVNbEu,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,1,"Is this gilpy again? Whatever, it’s a banger",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:26uDUal1TkjwwOaQQt1Uwy,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,0,What the heck is this,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:7kDUspsoYfLkWnZR7qwHZl,0995932416ce4af9b949fac7734be106,2025-08-22T01:18:47Z,1,Agree,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6QyBIZEvs11K9lKjyLYtv6,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Not bad!,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:7kDUspsoYfLkWnZR7qwHZl,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,1,I had a different MGK song penciled in for this round but went against it in favor of The Offspring. Really love this one. Super chill summer vibes.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:7ImkjvM1OKWhJ5HIPOHcHE,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Little repetitive but I liked it.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0MHXrqn909p0LRTPsNsGEi,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Iconic song.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0oc7YoWV783fGr2GbdcIrz,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,"Another song that highlighted the local water park commercials. Strong nostalgia here, though not enough for an up.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:1BBKX7HKP2h49AmingCDQb,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,1,Really sick vibes.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:21Qsj3cMVCx2xF2EVVNbEu,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Don't really know what to think of this.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:26uDUal1TkjwwOaQQt1Uwy,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,A little too short.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:2Jp0Bd4nt9rqPrGUTzltUy,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,"Apologies to Tai Trang, I don't love Sia personally, unique song though.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3aTtbSM7gX011qAtinh6nP,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,"Cool vibes, just misses.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3AydAydLzyyZutA0375XIz,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Very much expected to see this one this round. Fun little ditty.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3M1wrmH2DCIR3syOfjPoxW,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,Pretty cool!,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:4VtSO2QcHikRASfuNi7JOM,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,"Metal is not my genre, though it is quite unique.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:5huLMzIzFEdVcvEzt2hfk1,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,0,This is the type of song someone in your friend group shows you as a joke and it becomes a years-long inside joke about how this is the greatest song ever made.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:5v3MSh7CD3VNyCwAoSha5p,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,1,Fun song!,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:66YywMJbAgzQrGkFKjnSsK,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,1,"Very cool, almost jazzy.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6aF5JtQSrh7wNrkDE9B0My,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,-1,Not a big metal fan sorry.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6Alp15t6urC4opjJiyOqZu,39cda16dadc148fab5ea7ad22e01c3a0,2025-08-22T04:47:22Z,1,"Great song, great era of Sabrina.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0MHXrqn909p0LRTPsNsGEi,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Enjoyed it and good job pointing out the bongos. This was one of my final cuts.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0oc7YoWV783fGr2GbdcIrz,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Was just ok.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:1BBKX7HKP2h49AmingCDQb,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,I think I was looking for something a bit more upbeat and punchy for the under 3 min round. Just didn’t grab me.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:21Qsj3cMVCx2xF2EVVNbEu,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,I considered submitting Blue Orchid for this round. I would have voted for that one but this song isn’t my favourite.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:26uDUal1TkjwwOaQQt1Uwy,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,-1,"Barely a song for me, more of an interlude. ",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3aTtbSM7gX011qAtinh6nP,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,1,This was great.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3AydAydLzyyZutA0375XIz,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,1,Good song. That opening riff is so iconic that it the song almost feels a little overplayed to me but still enjoyed it enough for a thumb.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:3M1wrmH2DCIR3syOfjPoxW,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Liked it but didn’t love it. Shortlisted but didn’t make the final cut.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:4VtSO2QcHikRASfuNi7JOM,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Yeah that riff that kicks in at 35 seconds or so is awesome but I don’t love that the song spends a third of its run time doing basically nothing.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:5huLMzIzFEdVcvEzt2hfk1,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,This song always annoyed me. Gets stuck in your head in a bad way.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:5v3MSh7CD3VNyCwAoSha5p,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,"I liked this. I feel like it would benefit from being longer than 3 mins. Seems like it needed to build a tiny bit more. Was my final cut from my shortlist, sorry!",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:66YywMJbAgzQrGkFKjnSsK,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,1,"Yeah cool song, I liked it.",a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6aF5JtQSrh7wNrkDE9B0My,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Oh wow I haven’t heard this in a long time. Not really the sort of thing I listen to any more but there’s something to it.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6Alp15t6urC4opjJiyOqZu,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,Liked it but didn’t quite make the top 5,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6QyBIZEvs11K9lKjyLYtv6,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,I liked it but liked others more.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:6TfBA04WJ3X1d1wXhaCFVT,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,1,The Offspring have a really unique sound but I don’t know why because they don’t seem to do anything all that unique. Anyway I enjoyed this. ,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:7ImkjvM1OKWhJ5HIPOHcHE,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,1,Great pick.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:7kDUspsoYfLkWnZR7qwHZl,803db9ccbdac418593a9dbed4315c1a1,2025-08-22T07:59:03Z,0,I’m really not that familiar with MGK and I went in with an open mind but this is not for me.,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:5v3MSh7CD3VNyCwAoSha5p,1d1d8a5295de4e46ba5c84dbb4683144,2025-08-22T09:03:26Z,1,,a8e2ef9ec30f4d76b34585927ecefed2
spotify:track:0MHXrqn909p0LRTPsNsGEi,1d1d8a5295de4e46ba5c84dbb4683144,2025-08-22T09:03:26Z,0,This song makes me think of The Wire,a8e2ef9ec30f4d76b34585927ecefed2
